N,P,K,temperature,humidity,ph,rainfall,label
87.49,49.51,47.32,24.19,81.56,5.73,205.81,rice
97.32,46.01,47.08,20.14,89.7,6.75,221.23,rice
83.64,41.83,43.04,23.67,84.32,5.94,261.19,rice
82.79,42.92,43.66,23.19,87.85,5.8,251.42,rice
91.85,40.46,46.08,21.19,80.65,6.92,296.56,rice
96.17,43.05,40.98,24.79,84.4,5.68,249.52,rice
80.69,49.09,42.59,24.64,83.12,6.28,254.67,rice
83.7,49.7,47.75,26.58,88.95,6.4,292.19,rice
81.77,41.96,40.45,22.28,83.89,5.91,282.87,rice
87.14,42.81,45.43,20.99,88.02,5.61,298.69,rice
95.44,41.99,40.06,25.71,87.07,6.59,277.13,rice
81.48,43.58,41.16,26.04,86.23,6.0,206.36,rice
86.22,43.25,47.3,24.46,88.87,6.21,211.96,rice
94.26,47.61,45.61,25.4,84.94,6.28,242.75,rice
80.51,41.08,40.31,24.45,83.14,6.26,290.76,rice
84.99,44.1,47.56,21.6,80.77,5.93,216.12,rice
98.59,48.08,46.33,26.1,88.04,5.78,289.26,rice
90.79,48.07,48.96,22.23,81.1,5.84,242.71,rice
96.36,48.61,40.07,23.58,84.17,5.83,211.99,rice
86.75,49.43,43.23,23.63,87.03,6.05,297.18,rice
99.25,42.52,44.97,22.11,82.85,5.56,260.96,rice
90.05,40.51,42.79,26.36,82.4,5.72,248.95,rice
99.71,42.42,46.72,25.33,82.38,6.59,236.78,rice
92.65,46.34,45.36,20.63,88.35,5.98,218.65,rice
80.82,45.91,46.78,20.12,85.12,5.84,264.52,rice
83.49,46.91,43.87,26.56,81.38,6.01,211.35,rice
98.49,48.77,42.58,24.62,88.17,6.33,252.97,rice
84.84,40.93,48.97,26.3,86.33,6.01,234.92,rice
94.52,48.97,48.87,25.46,86.42,5.63,216.16,rice
97.97,46.06,40.09,20.71,86.64,5.51,216.08,rice
90.97,46.92,46.52,21.57,87.12,5.86,232.54,rice
94.93,46.5,48.49,24.6,85.68,5.64,236.77,rice
85.3,42.44,49.73,22.75,88.92,6.45,279.48,rice
90.05,45.77,44.93,21.37,87.22,5.92,202.43,rice
92.91,41.77,49.4,26.68,89.15,6.06,201.55,rice
98.57,44.28,49.67,26.75,88.53,5.94,238.51,rice
97.02,43.17,41.69,23.9,89.36,6.54,257.01,rice
81.94,46.15,49.9,20.98,85.18,6.82,274.08,rice
93.94,47.02,43.59,22.06,88.09,6.72,286.71,rice
98.26,45.11,45.02,25.59,86.5,6.55,279.58,rice
97.8,43.38,43.76,20.66,85.78,5.55,246.56,rice
90.85,42.87,45.91,20.21,80.37,6.73,236.02,rice
82.54,45.22,47.7,21.51,86.23,5.63,205.17,rice
90.63,45.41,46.37,25.08,89.76,6.27,232.3,rice
95.9,42.71,44.39,20.55,80.25,6.94,283.6,rice
93.92,44.09,41.73,21.1,82.5,6.32,271.46,rice
93.2,42.8,49.55,25.17,85.54,6.42,241.96,rice
84.95,43.56,47.58,20.1,81.16,5.57,204.07,rice
97.11,47.04,44.74,20.68,84.92,6.21,217.32,rice
88.68,43.99,46.16,24.45,80.45,6.06,262.59,rice
90.06,48.56,46.59,21.14,80.71,6.46,202.65,rice
91.72,49.4,45.75,22.72,86.43,6.19,254.56,rice
98.83,43.86,49.61,26.34,81.96,5.6,210.08,rice
80.36,40.94,46.83,20.5,83.19,6.77,202.33,rice
96.29,42.82,41.18,24.88,86.29,6.82,273.51,rice
96.07,42.82,41.77,25.25,88.07,6.99,241.26,rice
87.44,47.76,43.41,26.52,88.58,6.14,275.09,rice
95.09,41.03,49.03,23.54,88.26,5.98,289.55,rice
87.78,40.11,49.05,20.64,83.19,6.93,295.06,rice
91.47,46.32,44.48,22.05,83.29,6.51,275.24,rice
95.83,47.9,40.91,23.46,80.58,6.32,244.15,rice
97.75,43.51,41.17,21.0,87.62,6.43,210.11,rice
81.68,47.01,40.73,25.75,87.06,5.62,208.48,rice
99.73,43.74,43.71,25.69,89.47,6.98,275.34,rice
87.53,40.84,47.77,23.91,84.24,6.86,211.12,rice
89.85,40.11,44.69,20.39,81.19,5.68,264.92,rice
94.92,45.83,49.62,22.62,82.86,6.8,222.36,rice
99.26,40.12,49.7,20.3,88.91,6.29,299.3,rice
81.48,45.54,49.69,23.66,86.29,6.54,245.45,rice
92.55,45.84,49.01,20.32,82.81,6.93,289.03,rice
89.11,46.2,42.77,21.32,84.64,6.03,258.37,rice
81.55,49.74,49.86,24.89,85.36,5.96,281.38,rice
93.69,41.63,49.11,25.76,89.5,6.59,261.34,rice
88.36,49.33,48.66,20.32,80.26,6.06,281.06,rice
99.75,41.5,45.94,22.67,89.7,6.76,283.83,rice
89.37,44.15,42.73,20.39,88.65,6.72,299.97,rice
99.93,45.55,47.69,26.61,88.5,5.87,245.05,rice
82.58,49.54,46.06,21.6,86.72,6.43,235.82,rice
82.27,46.72,45.2,25.41,85.2,6.78,255.19,rice
91.22,48.77,44.03,20.94,80.29,6.63,262.03,rice
94.08,42.13,41.36,20.1,83.51,6.38,239.22,rice
88.75,49.04,43.48,23.6,87.84,6.09,262.21,rice
97.25,49.5,41.47,26.49,84.92,5.89,245.91,rice
99.6,44.93,43.29,24.43,82.4,5.61,212.89,rice
82.56,41.52,41.39,24.49,81.82,6.02,289.68,rice
89.48,46.68,41.72,21.35,80.41,5.75,227.86,rice
83.54,40.89,41.21,23.23,82.06,6.05,250.34,rice
93.81,40.39,47.99,24.4,80.82,6.81,292.09,rice
81.22,42.77,48.06,25.24,81.85,5.81,237.05,rice
89.69,46.18,43.69,23.24,87.47,5.56,225.24,rice
94.27,48.95,45.12,23.72,81.07,6.17,253.26,rice
84.85,42.69,43.77,20.14,83.22,5.82,232.75,rice
82.4,48.91,45.94,24.75,87.89,6.25,208.69,rice
90.74,45.87,47.45,23.02,81.28,5.93,236.31,rice
92.92,45.71,43.56,26.91,86.06,5.86,210.18,rice
83.06,42.46,41.61,21.31,82.85,5.76,289.68,rice
81.6,45.25,44.1,26.88,81.12,6.1,296.95,rice
97.31,48.17,42.58,21.2,86.69,6.89,255.68,rice
91.43,42.8,47.69,21.31,83.24,6.14,250.76,rice
84.85,41.15,46.11,22.02,85.81,5.73,248.11,rice
80.65,45.78,43.37,19.21,56.27,7.48,76.12,maize
86.2,48.82,46.82,24.84,66.91,6.44,80.59,maize
76.98,58.94,48.31,26.69,57.49,6.96,106.92,maize
73.62,46.0,47.41,23.17,71.84,5.78,99.76,maize
74.03,47.45,41.64,25.33,68.3,6.55,77.94,maize
87.54,50.89,48.17,21.95,62.54,6.43,75.07,maize
84.95,52.54,42.32,26.1,62.68,6.59,105.32,maize
82.48,46.75,49.4,23.65,61.7,5.78,99.7,maize
82.4,53.0,48.94,25.1,58.03,6.12,72.42,maize
84.88,45.5,45.7,24.86,72.54,6.18,101.06,maize
72.21,57.7,41.27,21.58,70.95,5.8,71.46,maize
84.45,55.8,46.41,24.25,65.85,6.0,77.28,maize
73.63,58.63,45.83,21.61,64.24,7.39,67.67,maize
81.72,52.59,46.11,18.16,72.44,7.36,88.26,maize
83.93,58.84,47.07,19.37,66.53,6.71,81.21,maize
84.73,59.02,49.26,22.06,57.26,7.47,101.94,maize
72.49,58.81,48.7,22.67,66.83,6.3,62.74,maize
76.7,57.04,40.05,21.0,62.96,6.57,105.99,maize
76.93,50.2,47.38,22.07,59.49,6.4,67.04,maize
73.53,52.48,44.19,26.23,62.25,6.66,91.61,maize
70.26,54.95,41.78,26.65,57.97,6.33,64.27,maize
89.94,52.53,45.95,18.6,70.0,5.92,104.9,maize
74.1,47.86,40.37,22.25,66.3,5.63,98.78,maize
79.07,52.87,44.41,21.61,66.19,5.81,69.1,maize
87.24,59.19,43.73,20.44,67.88,6.32,61.27,maize
73.12,55.74,46.59,18.24,59.44,5.96,93.59,maize
70.39,46.56,48.0,19.61,68.05,5.98,64.97,maize
74.86,55.83,48.56,25.47,62.94,6.84,70.25,maize
75.86,58.45,40.13,18.77,59.16,5.55,69.07,maize
81.66,51.32,48.93,25.36,61.84,6.02,78.98,maize
81.81,49.02,46.24,21.68,66.04,6.37,74.72,maize
88.97,56.45,41.4,25.82,64.75,7.29,99.99,maize
78.5,45.34,42.69,22.87,67.67,6.02,66.97,maize
86.7,59.77,45.26,19.55,60.45,5.54,105.71,maize
72.36,53.65,42.74,22.99,68.03,7.16,70.32,maize
70.22,47.05,49.0,25.87,66.95,6.7,93.25,maize
73.51,58.72,44.19,21.45,65.38,5.59,68.31,maize
84.76,46.24,46.03,20.21,62.79,6.08,77.78,maize
84.38,49.46,45.66,22.28,68.27,7.37,96.63,maize
74.3,45.47,42.62,23.36,56.03,6.49,89.84,maize
76.68,56.56,41.07,18.68,69.56,6.49,94.42,maize
78.7,48.7,48.19,25.19,68.89,6.04,89.51,maize
77.22,46.37,49.17,19.23,74.0,6.39,69.26,maize
80.84,58.09,47.32,25.26,68.18,6.88,102.46,maize
74.99,52.34,42.21,26.89,73.88,5.58,95.28,maize
88.5,47.71,45.68,26.24,55.68,6.89,74.87,maize
88.49,59.57,49.44,22.27,72.24,7.19,75.96,maize
86.58,45.56,45.96,20.07,57.41,5.65,94.81,maize
76.8,55.87,40.65,20.84,65.79,7.08,75.94,maize
82.52,58.29,46.16,20.1,55.49,7.24,61.06,maize
87.49,52.93,49.39,25.19,74.96,6.2,98.36,maize
78.04,52.2,46.28,25.86,74.68,7.04,80.89,maize
78.43,56.06,42.39,18.99,62.09,6.07,74.82,maize
74.67,45.63,40.18,26.89,63.56,6.27,93.98,maize
74.37,59.25,47.86,18.8,63.35,7.26,107.24,maize
79.35,54.2,41.67,26.92,59.63,7.39,92.48,maize
82.15,52.69,42.31,19.59,59.41,5.87,98.98,maize
77.0,45.87,49.69,25.95,73.56,7.49,68.69,maize
77.92,56.37,46.96,19.39,71.32,5.95,71.19,maize
80.74,53.89,45.8,18.82,72.55,6.03,66.48,maize
87.77,59.33,48.62,25.29,68.1,6.6,64.35,maize
78.17,50.59,42.6,24.51,64.92,5.66,71.01,maize
83.67,46.14,48.51,22.46,64.61,6.68,101.23,maize
76.96,55.17,45.66,20.4,72.57,7.09,92.92,maize
87.01,58.01,47.08,25.53,68.95,6.86,90.93,maize
85.05,47.38,48.81,25.85,55.58,7.15,66.44,maize
76.7,56.15,41.61,25.36,71.64,6.51,60.32,maize
75.74,54.25,49.81,23.69,60.2,6.77,87.0,maize
85.6,46.6,47.61,22.87,74.26,6.18,91.63,maize
88.64,46.54,49.37,24.19,56.36,6.1,95.41,maize
71.35,53.73,43.46,23.59,55.91,7.24,108.67,maize
89.38,56.24,41.3,24.82,55.49,5.54,76.18,maize
79.77,56.56,46.83,22.01,60.47,7.49,81.31,maize
79.03,47.45,47.95,24.24,59.42,5.66,94.02,maize
83.09,49.1,49.51,19.36,63.65,7.39,80.99,maize
82.77,50.96,42.74,26.86,63.19,7.29,71.5,maize
74.26,45.47,46.52,21.32,72.29,6.45,108.41,maize
73.71,58.03,47.77,24.94,71.9,7.02,91.31,maize
72.62,45.49,49.21,23.55,70.93,6.46,65.87,maize
72.5,55.28,44.3,19.8,64.83,5.63,89.1,maize
75.38,56.96,43.1,22.1,55.23,5.64,79.62,maize
79.6,54.0,42.92,24.25,72.2,7.06,61.98,maize
79.61,46.57,42.42,26.88,57.85,6.5,90.91,maize
84.05,53.39,40.1,20.94,65.35,5.68,77.53,maize
70.66,46.18,43.97,19.19,66.35,6.88,100.03,maize
74.0,47.51,41.05,23.73,69.13,5.56,106.81,maize
71.04,53.12,47.09,25.84,69.28,7.1,76.97,maize
86.3,46.2,48.95,22.93,71.35,6.4,92.18,maize
80.53,55.97,40.82,18.54,59.94,5.82,103.59,maize
74.38,59.64,43.37,19.64,70.79,6.82,84.91,maize
81.11,55.79,42.28,26.97,74.5,6.8,69.98,maize
83.6,46.08,40.31,20.32,64.25,7.24,96.36,maize
84.85,51.38,43.46,21.34,74.75,5.58,103.35,maize
81.57,51.58,47.25,22.38,72.47,7.3,81.09,maize
75.54,53.89,49.12,19.9,67.46,6.76,96.66,maize
72.63,55.74,49.09,19.62,59.75,7.44,69.05,maize
87.09,52.38,42.47,25.84,63.91,6.53,77.96,maize
81.86,47.45,43.91,26.72,60.16,6.81,76.26,maize
85.47,46.96,49.7,22.08,59.72,5.65,68.49,maize
80.4,50.06,48.29,21.88,59.97,6.73,95.34,maize
33.34,63.35,70.73,22.36,21.64,6.95,93.77,chickpea
46.11,71.71,87.37,17.06,16.12,6.54,62.28,chickpea
40.62,78.73,70.79,16.22,19.52,7.87,72.65,chickpea
40.14,60.83,72.97,24.87,24.65,6.01,98.07,chickpea
42.78,77.36,79.09,20.16,19.89,7.33,65.59,chickpea
30.6,66.16,84.09,17.02,21.73,7.94,63.76,chickpea
43.45,68.88,87.36,16.77,21.93,7.68,97.78,chickpea
43.66,69.94,82.36,23.69,20.71,6.06,97.24,chickpea
43.79,73.53,74.31,21.59,18.94,7.3,64.26,chickpea
43.16,79.99,70.96,24.77,19.07,7.74,91.3,chickpea
41.34,74.77,87.57,19.04,18.27,7.34,92.31,chickpea
45.25,75.96,78.71,23.18,16.2,7.09,60.23,chickpea
